,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
4,0.331,-1.19,900920,1,上柴Ｂ股,-7026.0,0.0,0.0,-7026.0,-3.54,-28568.0,-14.41,35595.0,17.96,1592981460,-3.54,-,-,-
5,18.55,0.22,002058,0,威 尔 泰,-7174.0,0.0,0.0,-7174.0,-0.05,-1314387.0,-9.59,1321561.0,9.64,1592981460,-0.05,-,-,-
6,16.5,-0.3,002856,0,美芝股份,-9123.0,1244781.0,5.52,-1253904.0,-5.56,-1529885.0,-6.79,1539008.0,6.83,1592981457,-0.04,-,-,-
7,3.37,-5.07,600146,1,*ST环球,-9436.0,0.0,0.0,-9436.0,-1.94,-252413.0,-51.83,261849.0,53.77,1592981462,-1.94,-,-,-
8,0.342,1.79,900924,1,上工Ｂ股,-10230.0,0.0,0.0,-10230.0,-2.99,-111509.0,-32.54,121739.0,35.53,1592981449,-2.99,-,-,-
9,7.79,-2.87,000695,0,滨海能源,-10232.0,-8646.0,-0.18,-1586.0,-0.03,-1119368.0,-23.22,1129601.0,23.44,1592981448,-0.21,-,-,-
10,0.418,2.45,900953,1,凯马Ｂ,-10660.0,0.0,0.0,-10660.0,-3.89,11340.0,4.14,-680.0,-0.25,1592981460,-3.89,-,-,-
11,0.771,0.13,900932,1,陆家Ｂ股,-12179.0,0.0,0.0,-12179.0,-1.61,3249.0,0.43,8931.0,1.18,1592981455,-1.61,-,-,-
12,9.52,-0.63,002014,0,永新股份,-12971.0,-41280.0,-0.11,28309.0,0.07,-4611744.0,-12.19,4624716.0,12.22,1592981460,-0.03,-,-,-
13,4.65,0.43,600405,1,动力源,-13600.0,0.0,0.0,-13600.0,-0.1,-938542.0,-7.1,952142.0,7.2,1592981454,-0.1,-,-,-
14,1.824,0.22,900933,1,华新Ｂ股,-14059.0,0.0,0.0,-14059.0,-1.97,-46373.0,-6.5,60433.0,8.47,1592981454,-1.97,-,-,-
15,8.83,-0.34,601566,1,九牧王,-15511.0,0.0,0.0,-15511.0,-0.27,-783049.0,-13.69,798561.0,13.96,1592981450,-0.27,-,-,-
16,0.712,0.0,900936,1,鄂资Ｂ股,-15530.0,0.0,0.0,-15530.0,-8.78,-11135.0,-6.29,26666.0,15.07,1592981454,-8.78,-,-,-
17,7.84,-0.38,601882,1,海天精工,-17207.0,0.0,0.0,-17207.0,-0.16,-366971.0,-3.34,384177.0,3.49,1592981462,-0.16,-,-,-
18,0.375,2.74,900902,1,市北B股,-17791.0,0.0,0.0,-17791.0,-1.54,28983.0,2.51,-11193.0,-0.97,1592981438,-1.54,-,-,-
19,3.81,-0.52,600281,1,太化股份,-18173.0,0.0,0.0,-18173.0,-0.43,-242008.0,-5.69,260181.0,6.12,1592981449,-0.43,-,-,-
20,2.66,-0.75,300157,0,恒泰艾普,-18513.0,0.0,0.0,-18513.0,-0.11,-1036652.0,-6.05,1055165.0,6.16,1592981460,-0.11,-,-,-
21,8.96,0.34,300449,0,汉邦高科,-19800.0,0.0,0.0,-19800.0,-0.04,2262050.0,4.63,-2242249.0,-4.59,1592981460,-0.04,-,-,-
22,3.41,-0.87,002578,0,闽发铝业,-20831.0,0.0,0.0,-20831.0,-0.15,-409265.0,-2.95,430095.0,3.09,1592981460,-0.15,-,-,-
