,rtn,pure_rtn,zz500_rtn,in_date,out_date,pub_date
300203.SZA,4.1308,4.1198,0.009999999999999898,2018-06-25,2018-06-26,2018-06-22
002515.SZA,3.4095000000000004,4.1185,-0.7100000000000001,2019-03-22,2019-03-25,2019-03-21
871456.SHA,3.4095000000000004,4.1185,-0.7100000000000001,2019-03-20,2019-03-21,2019-03-19
300180.SZA,-0.0958,4.1132,-4.21,2018-10-15,2018-10-16,2018-10-12
002370.SZA,2.4028,4.1118,-1.71,2018-04-03,2018-04-04,2018-03-31
002261.SZA,5.4642,4.103199999999999,1.36,2019-04-02,2019-04-03,2019-03-30
002603.SZA,4.2153,4.0943,0.12,2018-04-27,2018-05-02,2018-04-26
002205.SZA,5.5634999999999994,4.062499999999999,1.5,2019-08-27,2019-08-28,2019-08-24
300132.SZA,6.041,4.05,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
300308.SZA,3.887,4.036,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
688299.SHA,3.887,4.036,-0.15000000000000002,2019-10-08,2019-10-09,2019-09-30
300449.SZA,-0.013799999999999812,4.0352,-4.05,2018-11-23,2018-11-26,2018-11-22
300452.SZA,-0.18290000000000006,4.0261,-4.21,2018-10-15,2018-10-16,2018-10-12
300106.SZA,5.4605,4.009499999999999,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
000600.SZA,1.7673999999999999,3.9964,-2.23,2019-01-29,2019-01-30,2019-01-26
834179.SHA,3.8389,3.9879000000000002,-0.15000000000000002,2018-11-01,2018-11-02,2018-10-31
