,date,ndate,instrument,sname,hymc,forecast,forecasttype,increasel,increaset,zfpx,forecastcontent
85,2020-03-31,2020-04-15,000955.SZA,欣龙控股,化纤行业,increase,预增,1027.94,1591.9,1309.92,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,000万元至6,000万元,同比上年增长:1027.94%至1591.9%。"
86,2020-03-31,2020-04-15,002121.SZA,*ST科陆,仪器仪表,increase,扭亏,109.06,113.58,111.32,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,000万元至1,500万元。"
87,2020-03-31,2020-04-15,002493.SZA,荣盛石化,化纤行业,increase,预增,98.0,115.0,106.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:120,000万元至130,000万元,同比上年增长:98%至115%。"
88,2020-03-31,2020-04-15,200625.SZA,长安B,汽车行业,increase,扭亏,123.85,135.78,129.815,"预计2020年1-3月归属于上市公司股东的净利润盈利:50,000万元至75,000万元,同比上年增长:123.85%至135.78%。"
89,2020-03-31,2020-04-15,002249.SZA,大洋电机,机械行业,increase,扭亏,170.89,218.15,194.52,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,500万元至2,500万元。"
90,2020-03-31,2020-04-15,000911.SZA,ST南糖,食品饮料,increase,扭亏,103.37,104.87,104.12,"预计2020年1-3月归属于上市公司股东的净利润盈利:900万元至1,300万元,同比上年增长:103.37%至104.87%。"
91,2020-03-31,2020-04-15,002480.SZA,新筑股份,机械行业,increase,扭亏,176.31,204.93,190.62,预计2020年1-3月归属于上市公司股东的净利润盈利:1600万元-2200万元。
92,2020-03-31,2020-04-15,002290.SZA,ST中科创,材料行业,increase,预增,85.0,125.0,105.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:844.86万元至1,027.53万元,同比上年增长:85%至125%。"
93,2020-03-31,2020-04-15,000897.SZA,津滨发展,房地产,increase,扭亏,390.83,512.01,451.42,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,800万元至6,800万元。"
94,2020-03-31,2020-04-15,000893.SZA,东凌国际,化肥行业,increase,预增,145.99,214.31,180.15,预计2020年1-3月归属于上市公司股东的净利润盈利:约360万元至460万元。
95,2020-03-31,2020-04-15,000953.SZA,*ST河化,化肥行业,increase,扭亏,145.79,158.01,151.9,预计2020年1-3月归属于上市公司股东的净利润盈利:约750万元至950万元。
96,2020-03-31,2020-04-15,002660.SZA,茂硕电源,电子元件,increase,扭亏,751.3,1402.59,1076.945,"预计2020年1-3月归属于上市公司股东的净利润盈利:500万元至1,000万元。"
97,2020-03-31,2020-04-14,002100.SZA,天康生物,农牧饲渔,increase,预增,1041.07,1110.23,1075.65,"预计2020年1-3月归属于上市公司股东的净利润盈利:33,000万元至35,000万元,同比上年增长:1041.07%至1110.23%。"
98,2020-03-31,2020-04-14,002185.SZA,华天科技,电子元件,increase,预增,200.16,320.22,260.19,"预计2020年1-3月归属于上市公司股东的净利润盈利:5,000万元至7,000万元,同比上年增长:200.16%至320.22%。"
99,2020-03-31,2020-04-14,000488.SZA,晨鸣纸业,造纸印刷,increase,预增,423.0,449.0,436.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:20,000万元至21,000万元,同比上年增长:423%至449%。"
100,2020-03-31,2020-04-14,200488.SZA,晨鸣B,造纸印刷,increase,预增,423.0,449.0,436.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:20,000万元至21,000万元,同比上年增长:423%至449%。"
101,2020-03-31,2020-04-14,002208.SZA,合肥城建,房地产,increase,预增,100.0,150.0,125.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:22,088.04万元至27,610.05万元,同比增长100.00%至150.00%。"
102,2020-03-31,2020-04-14,002133.SZA,广宇集团,房地产,increase,扭亏,100.0,139.53,119.765,预计2020年1-3月归属于上市公司股东的净利润盈利:0万元至200万元。
103,2020-03-31,2020-04-14,002623.SZA,亚玛顿,玻璃陶瓷,increase,扭亏,147.17,170.75,158.96,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,000万元至1,500万元。"
104,2020-03-31,2020-04-14,002158.SZA,汉钟精机,机械行业,increase,略增,0.0,10.0,5.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,684.95万元至2,953.45万元,同比上年增长:0%至10%。"
105,2020-03-31,2020-04-14,000655.SZA,金岭矿业,钢铁行业,increase,略增,1.18,7.93,4.555,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,000万元至3,200万元,同比上年增长:1.18%至7.93%。"
106,2020-03-31,2020-04-14,002634.SZA,棒杰股份,纺织服装,increase,预增,180.0,210.0,195.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,180.68万元至1,307.18万元,同比上年增长:180%至210%。"
107,2020-03-31,2020-04-14,002698.SZA,博实股份,专用设备,increase,略增,20.0,50.0,35.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:10,565万元至13,206万元,同比上年增长:20%至50%。"
108,2020-03-31,2020-04-14,002817.SZA,黄山胶囊,医药制造,increase,略增,1.0,15.0,8.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:886.96万元至1,009.9万元,同比上年增长:1%至15%。"
109,2020-03-31,2020-04-14,002835.SZA,同为股份,电子信息,increase,扭亏,184.28,203.73,194.005,预计2020年1-3月归属于上市公司股东的净利润盈利:650万元至800万元。
110,2020-03-31,2020-04-14,000557.SZA,西部创业,交运物流,increase,预增,62.71,62.71,62.71,"预计2020年1-3月归属于上市公司股东的净利润盈利:约4,677万元,同比上年增长:约62.71%。"
111,2020-03-31,2020-04-14,600804.SHA,鹏博士,电信运营,increase,预增,52.77,60.52,56.645,"预计2020年1-3月归属于上市公司股东的净利润盈利:约7,879.91万元至8,279.91万元,同比上年增长:约52.77%至60.52%。"
112,2020-03-31,2020-04-14,002106.SZA,莱宝高科,电子元件,increase,预增,646.57,770.99,708.78,"预计2020年1-3月归属于上市公司股东的净利润盈利:6,000万元至7,000万元,同比上年增长:646.57%至770.99%。"
113,2020-03-31,2020-04-14,002624.SZA,完美世界,文化传媒,increase,略增,20.38,30.66,25.52,"预计2020年1-3月归属于上市公司股东的净利润盈利:58,500万元至63,500万元,同比上年增长:20.38%至30.66%。"
114,2020-03-31,2020-04-14,002351.SZA,漫步者,电子信息,increase,预增,70.0,80.0,75.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,724.13万元至5,002.02万元,同比上年增长:70%至80%。"
115,2020-03-31,2020-04-14,002417.SZA,深南股份,软件服务,increase,扭亏,612.82,1125.64,869.23,"预计2020年1-3月归属于上市公司股东的净利润盈利:500万元至1,000万元。"
116,2020-03-31,2020-04-14,002385.SZA,大北农,农牧饲渔,increase,扭亏,1206.87,1412.8,1309.835,"预计2020年1-3月归属于上市公司股东的净利润盈利:43,000万元至51,000万元。"
117,2020-03-31,2020-04-14,002426.SZA,*ST胜利,金属制品,increase,扭亏,105.27,107.62,106.445,"预计2020年1-3月归属于上市公司股东的净利润盈利:900万元至1,300万元。"
118,2020-03-31,2020-04-14,002072.SZA,ST凯瑞,软件服务,increase,扭亏,139.15,191.35,165.25,预计2020年1-3月归属于上市公司股东的净利润盈利:150万元至350万元。
119,2020-03-31,2020-04-14,002487.SZA,大金重工,金属制品,increase,预增,300.0,350.0,325.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,627.6万元至5,206.05万元,同比上年增长:300%至350%。"
120,2020-03-31,2020-04-14,002959.SZA,小熊电器,家电行业,increase,预增,60.0,90.0,75.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:8,978.24万元至10,661.66万元,同比上年增长:60%至90%。"
121,2020-03-31,2020-04-14,000930.SZA,中粮科技,农牧饲渔,increase,预增,55.0,90.0,72.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:9,000万元至11,000万元,同比上年增长:55%至90%。"
122,2020-03-31,2020-04-14,002264.SZA,新华都,商业百货,increase,预增,222.39,294.03,258.21,"预计2020年1-3月归属于上市公司股东的净利润盈利:9,000万元至11,000万元,同比上年增长:222.39%至294.03%。"
123,2020-03-31,2020-04-14,002531.SZA,天顺风能,输配电气,increase,预增,50.0,60.0,55.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:13,058.6万元至13,929.17万元,同比上年增长:50%至60%。"
124,2020-03-31,2020-04-14,000090.SZA,天健集团,工程建设,increase,预增,1310.81,1592.97,1451.89,"预计2020年1-3月归属于上市公司股东的净利润盈利:90,000万元至108,000万元,同比上年增长:1310.81%至1592.97%。"
